Marca_de_Tiempo,Entropia_Global,Varianza_Caos,Tamano_Bytes,Veredicto_IA
2026-03-01 14:24:46,6.2036,0.0136,10000,LEGÍTIMO (Permitido)
2026-03-01 14:25:03,4.0477,6.9176,10000,MALWARE (Bloqueado)
2026-03-01 14:29:15,6.2001,0.0120,8000,LEGÍTIMO (Permitido)
2026-03-01 14:29:21,5.9621,0.2543,18600,LEGÍTIMO (Permitido)
2026-03-01 14:29:28,5.9603,0.2574,18600,LEGÍTIMO (Permitido)
2026-03-01 14:29:34,4.6089,0.0032,3800,MALWARE (Bloqueado)
2026-03-01 14:29:43,5.9628,0.2562,18600,LEGÍTIMO (Permitido)
2026-03-01 14:36:56,5.3043,5.3961,17250,MALWARE (Bloqueado)
2026-03-01 14:37:02,4.6089,0.0032,3800,MALWARE (Bloqueado)
2026-03-01 14:37:06,4.0506,6.9385,10000,MALWARE (Bloqueado)
2026-03-01 14:37:10,6.2036,0.0095,8000,LEGÍTIMO (Permitido)
2026-03-01 14:37:14,6.2051,0.0125,15000,LEGÍTIMO (Permitido)
2026-03-01 14:59:41,6.2062,0.0101,15000,LEGÍTIMO (Permitido)
2026-03-01 14:59:47,4.0423,6.9573,10000,MALWARE (Bloqueado)
